UMAP1,UMAP2,UMAP3
2.178900718688964844e+01,-4.066964149475097656e+00,-1.084817171096801758e+00
-4.741088747978210449e-01,1.093092250823974609e+01,1.779784965515136719e+01
2.108078765869140625e+01,8.055638313293457031e+00,8.826952934265136719e+00
-8.348762392997741699e-01,9.289040565490722656e+00,3.889103889465332031e+00
2.600761175155639648e+00,4.465877056121826172e+00,-4.245600700378417969e+00
3.007823705673217773e+00,3.070538043975830078e+00,-5.240161418914794922e+00
1.215409660339355469e+01,-6.372897148132324219e+00,1.187920928001403809e+00
-4.357626438140869141e+00,-1.287665653228759766e+01,6.294366359710693359e+00
-4.152815341949462891e-01,1.099047470092773438e+01,1.753802680969238281e+01
-1.630135345458984375e+01,-4.477650642395019531e+00,-2.459375619888305664e+00
6.735901355743408203e+00,5.356449604034423828e+00,5.111222743988037109e+00
2.062787246704101562e+01,1.232539892196655273e+00,3.816610813140869141e+00
-3.289512991905212402e-01,1.725473594665527344e+01,1.239440727233886719e+01
1.521652936935424805e+00,2.332800483703613281e+01,-6.999468326568603516e+00
1.965916824340820312e+01,2.578214168548583984e+00,-1.444129562377929688e+01
1.771711540222167969e+01,-3.454608023166656494e-01,-4.593523979187011719e+00
1.640770530700683594e+01,-6.586886882781982422e+00,1.172406673431396484e+01
-1.096889591217041016e+01,2.533056497573852539e+00,-1.594365310668945312e+01
1.393554306030273438e+01,1.852019309997558594e+01,7.674583435058593750e+00
-9.678939819335937500e+00,1.382081794738769531e+01,2.553977727890014648e+00
-2.590542554855346680e+00,5.343626812100410461e-02,1.428984451293945312e+01
2.323969125747680664e+00,6.034447193145751953e+00,-2.372529506683349609e+00
-1.586890220642089844e+00,8.474344253540039062e+00,-3.244429588317871094e+00
1.555585002899169922e+01,1.306015872955322266e+01,-4.707804203033447266e+00
-1.035669040679931641e+01,-8.520510673522949219e+00,-7.953664779663085938e+00
-1.686913490295410156e+01,1.086666488647460938e+01,-2.896128177642822266e+00
9.800715446472167969e+00,-8.853610038757324219e+00,-9.198282241821289062e+00
2.383486747741699219e+00,4.875200271606445312e+00,1.490633606910705566e+00
-9.563455581665039062e+00,1.371865081787109375e+01,2.614347696304321289e+00
-6.085132956504821777e-01,1.086675262451171875e+01,1.770829200744628906e+01
-5.715126395225524902e-01,1.087500667572021484e+01,1.767028427124023438e+01
1.557339859008789062e+01,1.306782054901123047e+01,-4.697088241577148438e+00
-2.601015806198120117e+00,4.076473042368888855e-02,1.434086704254150391e+01
1.483436775207519531e+01,-8.439306259155273438e+00,-5.925745964050292969e+00
4.888493061065673828e+00,1.578846549987792969e+01,7.185617446899414062e+00
-5.103093147277832031e+00,3.155237674713134766e+00,1.508823156356811523e+00
-5.102930545806884766e+00,3.155258178710937500e+00,1.508741378784179688e+00
1.388212490081787109e+01,1.860111618041992188e+01,7.740990638732910156e+00
-2.712813615798950195e-01,1.729812812805175781e+01,1.244680404663085938e+01
8.438755035400390625e+00,-1.448024654388427734e+01,1.920891761779785156e+00
-7.082111835479736328e+00,4.312911033630371094e+00,6.307942867279052734e+00
-7.154930830001831055e-01,1.073190593719482422e+01,1.765943145751953125e+01
-9.504331350326538086e-01,1.244350910186767578e+00,2.249565696716308594e+01
-4.360074996948242188e+00,-1.287788391113281250e+01,6.290176868438720703e+00
2.178909683227539062e+01,-4.066099643707275391e+00,-1.084214568138122559e+00
1.965840530395507812e+01,2.578589677810668945e+00,-1.444229125976562500e+01
-2.611749649047851562e+00,1.983708888292312622e-02,1.413136863708496094e+01
8.438217163085937500e+00,-1.448099327087402344e+01,1.920790553092956543e+00
1.392260837554931641e+01,1.860736274719238281e+01,7.752336978912353516e+00
1.366314888000488281e+01,1.837472343444824219e+01,7.926520347595214844e+00
2.107986640930175781e+01,8.056586265563964844e+00,8.827809333801269531e+00
-9.501640796661376953e-01,1.243970751762390137e+00,2.249525833129882812e+01
-5.234064579010009766e+00,5.464887142181396484e+00,-1.834687232971191406e+01
-7.068924307823181152e-01,4.158466339111328125e+00,7.819516062736511230e-01
1.050814342498779297e+01,9.498736381530761719e+00,1.170083332061767578e+01
1.529847145080566406e+01,-1.165399932861328125e+01,5.954431056976318359e+00
5.802826881408691406e+00,9.737043380737304688e+00,-5.537705898284912109e+00
-1.073740959167480469e+01,-5.558021545410156250e+00,1.088895702362060547e+01
1.965777015686035156e+01,2.578542232513427734e+00,-1.444369411468505859e+01
-6.719137191772460938e+00,-8.089305877685546875e+00,1.713467025756835938e+01
-9.614301681518554688e+00,-3.363187789916992188e+00,-1.155798244476318359e+01
6.739079475402832031e+00,-7.232463836669921875e+00,-6.558298319578170776e-02
1.383738803863525391e+01,4.639545917510986328e+00,-1.260811519622802734e+01
-2.583606719970703125e+00,9.630869328975677490e-02,1.431412029266357422e+01
